"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 04 02:54:16 GMT 2024","Mon Nov 04 02:54:16 GMT 2024","719","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Mon Nov 04 02:54:11 GMT 2024","Mon Nov 04 02:54:19 GMT 2024","7536","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"failed","Mon Nov 04 02:54:07 GMT 2024","Mon Nov 04 02:54:15 GMT 2024","7741","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"failed","Mon Nov 04 02:54:09 GMT 2024","Mon Nov 04 02:54:17 GMT 2024","8165","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"passed","Mon Nov 04 02:54:03 GMT 2024","Mon Nov 04 02:54:06 GMT 2024","2495","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Mon Nov 04 02:54:05 GMT 2024","Mon Nov 04 02:54:06 GMT 2024","840","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Mon Nov 04 02:54:01 GMT 2024","Mon Nov 04 02:54:10 GMT 2024","8096","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"failed","Mon Nov 04 02:54:11 GMT 2024","Mon Nov 04 02:54:19 GMT 2024","8157","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"passed","Mon Nov 04 02:54:00 GMT 2024","Mon Nov 04 02:54:02 GMT 2024","2798","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Mon Nov 04 02:53:59 GMT 2024","Mon Nov 04 02:53:59 GMT 2024","247","playwright_pytest.api_tests","test_booking_api","TestBookingAPI","","","GET bookings","Simple GET bookings without params"
"passed","Mon Nov 04 02:54:07 GMT 2024","Mon Nov 04 02:54:11 GMT 2024","3425","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Mon Nov 04 02:54:00 GMT 2024","Mon Nov 04 02:54:00 GMT 2024","686","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Mon Nov 04 02:54:00 GMT 2024","Mon Nov 04 02:54:08 GMT 2024","8357","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
