"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 09 03:21:30 GMT 2025","Mon Jun 09 03:21:38 GMT 2025","7527","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Mon Jun 09 03:21:46 GMT 2025","Mon Jun 09 03:21:47 GMT 2025","1007","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Mon Jun 09 03:21:28 GMT 2025","Mon Jun 09 03:21:36 GMT 2025","8194","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"failed","Mon Jun 09 03:21:39 GMT 2025","Mon Jun 09 03:21:47 GMT 2025","7228","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"passed","Mon Jun 09 03:21:27 GMT 2025","Mon Jun 09 03:21:28 GMT 2025","113","playwright_pytest.api_tests","test_booking_api","TestBookingAPI","","","GET bookings","Simple GET bookings without params"
"failed","Mon Jun 09 03:21:28 GMT 2025","Mon Jun 09 03:21:36 GMT 2025","8009","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Mon Jun 09 03:21:28 GMT 2025","Mon Jun 09 03:21:29 GMT 2025","799","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Mon Jun 09 03:21:42 GMT 2025","Mon Jun 09 03:21:48 GMT 2025","6259","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"passed","Mon Jun 09 03:21:32 GMT 2025","Mon Jun 09 03:21:34 GMT 2025","1385","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"failed","Mon Jun 09 03:21:45 GMT 2025","Mon Jun 09 03:21:52 GMT 2025","7456","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Mon Jun 09 03:21:39 GMT 2025","Mon Jun 09 03:21:41 GMT 2025","1572","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Mon Jun 09 03:21:36 GMT 2025","Mon Jun 09 03:21:44 GMT 2025","8074","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"failed","Mon Jun 09 03:21:37 GMT 2025","Mon Jun 09 03:21:45 GMT 2025","7751","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
