"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 14 02:53:49 GMT 2025","Fri Mar 14 02:53:51 GMT 2025","1506","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Fri Mar 14 02:53:52 GMT 2025","Fri Mar 14 02:53:53 GMT 2025","1313","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Fri Mar 14 02:53:42 GMT 2025","Fri Mar 14 02:53:49 GMT 2025","7796","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Fri Mar 14 02:53:42 GMT 2025","Fri Mar 14 02:53:42 GMT 2025","717","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"passed","Fri Mar 14 02:53:41 GMT 2025","Fri Mar 14 02:53:41 GMT 2025","116","playwright_pytest.api_tests","test_booking_api","TestBookingAPI","","","GET bookings","Simple GET bookings without params"
"failed","Fri Mar 14 02:53:42 GMT 2025","Fri Mar 14 02:53:50 GMT 2025","8001","","","","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Fri Mar 14 02:53:46 GMT 2025","Fri Mar 14 02:53:47 GMT 2025","1394","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Fri Mar 14 02:53:52 GMT 2025","Fri Mar 14 02:53:55 GMT 2025","3056","","","","","","Test Fail Example 2","Search for Bad Value 2."
"failed","Fri Mar 14 02:53:43 GMT 2025","Fri Mar 14 02:53:51 GMT 2025","7999","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Fri Mar 14 02:53:54 GMT 2025","Fri Mar 14 02:53:55 GMT 2025","768","","","","","","Test Fail Example 2","Search for Bad Value 2."
"passed","Fri Mar 14 02:53:51 GMT 2025","Fri Mar 14 02:53:55 GMT 2025","4119","","","","","","Test Fail Example 1","Search for Bad Value 1."
