"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 04 02:55:53 GMT 2025","Thu Sep 04 02:56:01 GMT 2025","8657","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"failed","Thu Sep 04 02:55:52 GMT 2025","Thu Sep 04 02:56:01 GMT 2025","8483","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"failed","Thu Sep 04 02:56:04 GMT 2025","Thu Sep 04 02:56:11 GMT 2025","6753","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"failed","Thu Sep 04 02:56:01 GMT 2025","Thu Sep 04 02:56:08 GMT 2025","6862","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"failed","Thu Sep 04 02:56:07 GMT 2025","Thu Sep 04 02:56:13 GMT 2025","6256","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Thu Sep 04 02:55:52 GMT 2025","Thu Sep 04 02:55:53 GMT 2025","929","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"passed","Thu Sep 04 02:56:06 GMT 2025","Thu Sep 04 02:56:06 GMT 2025","639","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"passed","Thu Sep 04 02:56:04 GMT 2025","Thu Sep 04 02:56:05 GMT 2025","1126","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"passed","Thu Sep 04 02:55:56 GMT 2025","Thu Sep 04 02:55:58 GMT 2025","1923","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Thu Sep 04 02:55:52 GMT 2025","Thu Sep 04 02:55:52 GMT 2025","510","playwright_pytest.api_tests","test_booking_api","TestBookingAPI","","","GET bookings","Simple GET bookings without params"
"failed","Thu Sep 04 02:55:59 GMT 2025","Thu Sep 04 02:56:06 GMT 2025","6702","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"failed","Thu Sep 04 02:55:54 GMT 2025","Thu Sep 04 02:56:02 GMT 2025","8630","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"failed","Thu Sep 04 02:56:09 GMT 2025","Thu Sep 04 02:56:15 GMT 2025","6651","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
