"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 19 03:12:18 GMT 2024","Sat Oct 19 03:12:26 GMT 2024","8058","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Sat Oct 19 03:12:19 GMT 2024","Sat Oct 19 03:12:20 GMT 2024","1102","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Sat Oct 19 03:12:07 GMT 2024","Sat Oct 19 03:12:16 GMT 2024","8449","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Sat Oct 19 03:12:15 GMT 2024","Sat Oct 19 03:12:18 GMT 2024","2921","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"failed","Sat Oct 19 03:12:18 GMT 2024","Sat Oct 19 03:12:26 GMT 2024","7335","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"failed","Sat Oct 19 03:12:16 GMT 2024","Sat Oct 19 03:12:23 GMT 2024","7383","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"passed","Sat Oct 19 03:12:07 GMT 2024","Sat Oct 19 03:12:07 GMT 2024","212","playwright_pytest.api_tests","test_booking_api","TestBookingAPI","","","GET bookings","Simple GET bookings without params"
"passed","Sat Oct 19 03:12:11 GMT 2024","Sat Oct 19 03:12:13 GMT 2024","1623","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"failed","Sat Oct 19 03:12:24 GMT 2024","Sat Oct 19 03:12:32 GMT 2024","7433","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"passed","Sat Oct 19 03:12:22 GMT 2024","Sat Oct 19 03:12:22 GMT 2024","642","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Sat Oct 19 03:12:09 GMT 2024","Sat Oct 19 03:12:17 GMT 2024","7927","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Sat Oct 19 03:12:07 GMT 2024","Sat Oct 19 03:12:08 GMT 2024","750","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Sat Oct 19 03:12:07 GMT 2024","Sat Oct 19 03:12:16 GMT 2024","8241","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
