"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 21 03:08:12 GMT 2025","Thu Aug 21 03:08:20 GMT 2025","8650","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"failed","Thu Aug 21 03:07:57 GMT 2025","Thu Aug 21 03:08:05 GMT 2025","8678","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Thu Aug 21 03:08:21 GMT 2025","Thu Aug 21 03:08:21 GMT 2025","507","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Thu Aug 21 03:08:12 GMT 2025","Thu Aug 21 03:08:21 GMT 2025","9000","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Thu Aug 21 03:08:01 GMT 2025","Thu Aug 21 03:08:03 GMT 2025","2306","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Thu Aug 21 03:07:57 GMT 2025","Thu Aug 21 03:08:00 GMT 2025","2851","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"failed","Thu Aug 21 03:08:08 GMT 2025","Thu Aug 21 03:08:14 GMT 2025","6295","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"failed","Thu Aug 21 03:08:06 GMT 2025","Thu Aug 21 03:08:12 GMT 2025","6116","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"failed","Thu Aug 21 03:08:21 GMT 2025","Thu Aug 21 03:08:28 GMT 2025","6269","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"failed","Thu Aug 21 03:07:59 GMT 2025","Thu Aug 21 03:08:07 GMT 2025","8311","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Thu Aug 21 03:07:56 GMT 2025","Thu Aug 21 03:07:56 GMT 2025","118","playwright_pytest.api_tests","test_booking_api","TestBookingAPI","","","GET bookings","Simple GET bookings without params"
"passed","Thu Aug 21 03:08:02 GMT 2025","Thu Aug 21 03:08:04 GMT 2025","2121","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"passed","Thu Aug 21 03:07:57 GMT 2025","Thu Aug 21 03:07:57 GMT 2025","838","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
