"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 26 03:14:19 GMT 2024","Thu Sep 26 03:14:20 GMT 2024","860","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"passed","Thu Sep 26 03:14:17 GMT 2024","Thu Sep 26 03:14:19 GMT 2024","1626","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Thu Sep 26 03:14:13 GMT 2024","Thu Sep 26 03:14:15 GMT 2024","1044","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"passed","Thu Sep 26 03:14:21 GMT 2024","Thu Sep 26 03:14:28 GMT 2024","6424","","","","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Thu Sep 26 03:14:12 GMT 2024","Thu Sep 26 03:14:13 GMT 2024","432","playwright_pytest.api_tests","test_booking_api","TestBookingAPI","","","GET bookings","Simple GET bookings without params"
"passed","Thu Sep 26 03:14:13 GMT 2024","Thu Sep 26 03:14:17 GMT 2024","3442","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"failed","Thu Sep 26 03:14:14 GMT 2024","Thu Sep 26 03:14:22 GMT 2024","8367","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Thu Sep 26 03:14:25 GMT 2024","Thu Sep 26 03:14:28 GMT 2024","2366","","","","","","Test Fail Example 2","Search for Bad Value 2."
"passed","Thu Sep 26 03:14:21 GMT 2024","Thu Sep 26 03:14:25 GMT 2024","3824","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Thu Sep 26 03:14:22 GMT 2024","Thu Sep 26 03:14:28 GMT 2024","5553","","","","","","Test Fail Example 2","Search for Bad Value 2."
"failed","Thu Sep 26 03:14:14 GMT 2024","Thu Sep 26 03:14:22 GMT 2024","8126","","","","","","Test Fail Example 1","Search for Bad Value 1."
