"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 15 02:51:28 GMT 2025","Sat Mar 15 02:51:35 GMT 2025","7188","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"failed","Sat Mar 15 02:51:34 GMT 2025","Sat Mar 15 02:51:42 GMT 2025","7631","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"failed","Sat Mar 15 02:51:29 GMT 2025","Sat Mar 15 02:51:36 GMT 2025","7525","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Sat Mar 15 02:51:31 GMT 2025","Sat Mar 15 02:51:33 GMT 2025","1724","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Sat Mar 15 02:51:27 GMT 2025","Sat Mar 15 02:51:30 GMT 2025","3193","playwright_pytest.api_tests","test_booking_api","TestBookingAPI","","","GET bookings","Simple GET bookings without params"
"passed","Sat Mar 15 02:51:28 GMT 2025","Sat Mar 15 02:51:28 GMT 2025","613","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Sat Mar 15 02:51:42 GMT 2025","Sat Mar 15 02:51:49 GMT 2025","6541","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"passed","Sat Mar 15 02:51:31 GMT 2025","Sat Mar 15 02:51:33 GMT 2025","2153","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Sat Mar 15 02:51:33 GMT 2025","Sat Mar 15 02:51:33 GMT 2025","524","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Sat Mar 15 02:51:34 GMT 2025","Sat Mar 15 02:51:42 GMT 2025","7485","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Sat Mar 15 02:51:43 GMT 2025","Sat Mar 15 02:51:43 GMT 2025","747","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Sat Mar 15 02:51:36 GMT 2025","Sat Mar 15 02:51:43 GMT 2025","7298","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"failed","Sat Mar 15 02:51:38 GMT 2025","Sat Mar 15 02:51:44 GMT 2025","6663","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
