"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 17 13:42:37 GMT 2024","Tue Sep 17 13:42:45 GMT 2024","8208","playwright_pytest.ui_tests","firefox 128.0","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"failed","Tue Sep 17 13:42:48 GMT 2024","Tue Sep 17 13:42:55 GMT 2024","7410","playwright_pytest.ui_tests","webkit 18.0","TestSearch","","","Test Simple Search","Search for Playwright docs."
"failed","Tue Sep 17 13:42:40 GMT 2024","Tue Sep 17 13:42:46 GMT 2024","6121","playwright_pytest.ui_tests","firefox 128.0","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Tue Sep 17 13:42:46 GMT 2024","Tue Sep 17 13:42:46 GMT 2024","396","playwright_pytest.ui_tests","firefox 128.0","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"passed","Tue Sep 17 13:42:44 GMT 2024","Tue Sep 17 13:42:44 GMT 2024","525","playwright_pytest.ui_tests","chromium 128.0.6613.18","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Tue Sep 17 13:42:46 GMT 2024","Tue Sep 17 13:42:53 GMT 2024","7668","playwright_pytest.ui_tests","webkit 18.0","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
"passed","Tue Sep 17 13:42:54 GMT 2024","Tue Sep 17 13:42:55 GMT 2024","670","playwright_pytest.ui_tests","webkit 18.0","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"failed","Tue Sep 17 13:42:35 GMT 2024","Tue Sep 17 13:42:43 GMT 2024","7861","playwright_pytest.ui_tests","chromium 128.0.6613.18","TestSearch","","","Test Simple Search","Search for Playwright docs."
"failed","Tue Sep 17 13:42:43 GMT 2024","Tue Sep 17 13:42:50 GMT 2024","6354","playwright_pytest.ui_tests","chromium 128.0.6613.18","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Tue Sep 17 13:42:37 GMT 2024","Tue Sep 17 13:42:40 GMT 2024","3118","playwright_pytest.ui_tests","firefox 128.0","TestSearch","","","Test Simple Search","Search for Playwright docs."
"failed","Tue Sep 17 13:42:51 GMT 2024","Tue Sep 17 13:42:59 GMT 2024","7973","playwright_pytest.ui_tests","webkit 18.0","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"failed","Tue Sep 17 13:42:35 GMT 2024","Tue Sep 17 13:42:43 GMT 2024","8248","playwright_pytest.ui_tests","chromium 128.0.6613.18","TestSearch","","","Test Fail Example 2","Search for Bad Value 2."
