"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 02:59:29 GMT 2024","Sun Nov 17 02:59:33 GMT 2024","3435","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Sun Nov 17 02:59:30 GMT 2024","Sun Nov 17 02:59:35 GMT 2024","4956","","","","","","Test Fail Example 2","Search for Bad Value 2."
"failed","Sun Nov 17 02:59:22 GMT 2024","Sun Nov 17 02:59:30 GMT 2024","7932","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
"passed","Sun Nov 17 02:59:21 GMT 2024","Sun Nov 17 02:59:21 GMT 2024","124","playwright_pytest.api_tests","test_booking_api","TestBookingAPI","","","GET bookings","Simple GET bookings without params"
"failed","Sun Nov 17 02:59:22 GMT 2024","Sun Nov 17 02:59:30 GMT 2024","7958","","","","","","Test Simple Search","Search for Playwright docs."
"passed","Sun Nov 17 02:59:22 GMT 2024","Sun Nov 17 02:59:22 GMT 2024","604","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Add 1 TODO action","Simply add 1 TODO item."
"passed","Sun Nov 17 02:59:25 GMT 2024","Sun Nov 17 02:59:27 GMT 2024","2169","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Simple Search","Search for Playwright docs."
"passed","Sun Nov 17 02:59:32 GMT 2024","Sun Nov 17 02:59:35 GMT 2024","2553","","","","","","Test Fail Example 2","Search for Bad Value 2."
"passed","Sun Nov 17 02:59:33 GMT 2024","Sun Nov 17 02:59:35 GMT 2024","2265","","","","","","Test Fail Example 1","Search for Bad Value 1."
"failed","Sun Nov 17 02:59:24 GMT 2024","Sun Nov 17 02:59:32 GMT 2024","8084","playwright_pytest.ui_tests","test_todo_app","TestSearch","","","Test Fail Example 1","Search for Bad Value 1."
